name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2023-01-27,45.6,38.9,42.2,41.2,34.6,37.7,35.4,77.2,0.0,0,0.0,,0.0,0.0,17.1,10.0,20.9,1030.6,79.8,15.2,26.8,2.4,1,,2023-01-27T07:46:34,2023-01-27T16:40:30,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-01-28,44.0,39.8,41.7,42.5,36.8,39.7,31.9,68.2,0.0,0,0.0,,0.0,0.0,9.5,6.2,308.8,1031.9,99.7,14.8,25.5,2.2,1,,2023-01-28T07:45:12,2023-01-28T16:42:17,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-29,47.6,40.7,43.6,42.8,36.6,39.0,39.6,85.5,0.0,0,0.0,,0.0,0.0,23.3,14.0,242.6,1026.6,83.7,11.9,20.5,1.7,1,,2023-01-29T07:43:48,2023-01-29T16:44:04,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-30,49.3,36.3,44.5,45.2,32.6,39.8,37.1,76.2,0.0,0,0.0,,0.0,0.0,19.2,12.5,283.8,1024.9,37.6,15.8,38.2,3.4,3,,2023-01-30T07:42:21,2023-01-30T16:45:52,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-31,53.3,38.6,46.0,53.3,33.6,41.7,38.0,74.2,0.0,0,0.0,,0.0,0.0,24.7,15.1,262.9,1025.0,77.5,14.7,30.0,2.5,2,,2023-01-31T07:40:52,2023-01-31T16:47:40,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,remote,03772099999,03770099999"
london,2023-02-01,51.2,40.7,45.6,51.2,34.1,40.6,37.6,73.7,0.0,0,0.0,,0.0,0.0,28.2,19.2,259.2,1025.0,53.5,11.8,48.0,4.1,3,,2023-02-01T07:39:21,2023-02-01T16:49:29,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,remote,03772099999,03770099999"
london,2023-02-02,51.4,43.1,47.9,51.4,37.5,44.0,42.0,80.1,0.0,0,0.0,,0.0,0.0,27.3,17.0,256.5,1027.2,83.7,18.5,37.0,3.2,3,,2023-02-02T07:37:49,2023-02-02T16:51:18,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,remote,03772099999"
london,2023-02-03,54.1,44.7,49.7,54.1,42.0,47.1,44.4,81.9,0.0,0,0.0,,0.0,0.0,21.3,14.5,267.9,1031.3,68.6,19.3,39.6,3.5,2,,2023-02-03T07:36:14,2023-02-03T16:53:07,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999"
london,2023-02-04,48.1,44.1,46.7,44.8,41.5,43.2,42.0,84.0,0.0,0,0.0,,0.0,0.0,12.8,9.4,267.2,1038.1,98.6,15.0,15.8,1.5,1,,2023-02-04T07:34:37,2023-02-04T16:54:56,0.46,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,remote,03772099999"
london,2023-02-05,46.4,32.9,41.0,42.6,28.7,37.3,34.3,77.5,0.0,0,0.0,,0.0,0.0,20.2,10.4,1.0,1044.5,20.8,14.5,51.0,4.5,3,,2023-02-05T07:32:59,2023-02-05T16:56:46,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,remote,03772099999"
